Node name,Calls,Average per call,Total time,%Time
__index,29477,0.00060043423686264,17.699,69.741508393095
create,203,0.018822660098522,3.821,15.056348017968
removeFromParent,3,0.238,0.714,2.8134604775789
callbackHandler,1499,0.00047031354236157,0.705,2.7779966900464
loadTextures,4919,0.00012543199837365,0.617,2.4312396563952
release,2,0.2575,0.515,2.0293167310268
newCCSprite,1629,0.00013198281154082,0.215,0.84719047994323
createNode,1,0.203,0.203000,0.79990542989989
playMusic,3,0.041,0.123,0.48467176294427
format,18040,4.8780487804878e-006,0.088,0.34675703365118
getCityType,29070,2.5455796353629e-006,0.074,0.29159114193395
setVisible,16370,3.6041539401344e-006,0.059,0.23248482937977
playEffect,2,0.022,0.044,0.17337851682559
".\src\game/module/n",55500,7.7477477477478e-007,0.043,0.16943809598865
addChild,827,4.1112454655381e-005,0.034,0.13397430845614
getObject,21233,1.2245090189799e-006,0.026,0.10245094176058
"called from called ",15,0.0016,0.024,0.094570100086687
createTimeline,1,0.021,0.021000,0.082748837575851
tonumber,8962,2.2316447221602e-006,0.02,0.078808416738906
insert,2247,8.4557187360926e-006,0.019,0.07486799590196
getContentSize,96,0.00019791666666667,0.019,0.07486799590196
"newWithinLocalTextu",252,6.7460317460317e-005,0.017,0.06698715422807
setMaxLength,1,0.017,0.017000,0.06698715422807
gotoFrameAndPlay,1,0.016,0.016000,0.063046733391124
(for generator),10780,1.39146567718e-006,0.015,0.059106312554179
check,3085,4.5380875202593e-006,0.014,0.055165891717234
".\src\firework/util",2019,5.9435364041605e-006,0.012,0.047285050043343
setCityStarNum,3250,3.6923076923077e-006,0.012,0.047285050043343
setLayer,5,0.0024,0.012,0.047285050043343
getRootNode,6619,1.661882459586e-006,0.011,0.043344629206398
newCCButton,216,4.6296296296296e-005,0.01,0.039404208369453
removeUnusedTextures,2,0.005,0.01,0.039404208369453
type,2697,3.3370411568409e-006,0.009,0.035463787532508
getCityIsBroken,5130,1.7543859649123e-006,0.009,0.035463787532508
setTouchEnabled,3363,2.3788284269997e-006,0.008,0.031523366695562
"registerScriptHandl",64,0.000109375,0.007,0.027582945858617
tostring,2001,3.4982508745627e-006,0.007,0.027582945858617
addArmatureFileInfo,57,0.00012280701754386,0.007,0.027582945858617
setTitleText,2,0.0025,0.005,0.019702104184726
len,242,2.0661157024793e-005,0.005,0.019702104184726
onEVENT_REFRESH,3193,1.565925461948e-006,0.005,0.019702104184726
match,2582,1.9364833462432e-006,0.005,0.019702104184726
assert,3359,1.4885382554332e-006,0.005,0.019702104184726
newCCLabel,216,1.8518518518519e-005,0.004,0.015761683347781
setTitleFontSize,2,0.002,0.004,0.015761683347781
centerTop,118,3.3898305084746e-005,0.004,0.015761683347781
get,3912,7.6687116564417e-007,0.003,0.011821262510836
"addTouchEventListen",76,3.9473684210526e-005,0.003,0.011821262510836
upper,225,1.3333333333333e-005,0.003,0.011821262510836
setPosition,874,3.4324942791762e-006,0.003,0.011821262510836
gsub,214,1.4018691588785e-005,0.003,0.011821262510836
setString,9,0.00033333333333333,0.003,0.011821262510836
"setCityStarBarVisib",1709,1.7554125219427e-006,0.003,0.011821262510836
center,282,1.063829787234e-005,0.003,0.011821262510836
setFontSize,1,0.002,0.002000,0.0078808416738906
p,863,2.3174971031286e-006,0.002,0.0078808416738906
getStringFromFile,7,0.00028571428571429,0.002,0.0078808416738906
adapterCC,752,2.6595744680851e-006,0.002,0.0078808416738906
split,105,1.9047619047619e-005,0.002,0.0078808416738906
runAction,47,4.2553191489362e-005,0.002,0.0078808416738906
getInstance,85,2.3529411764706e-005,0.002,0.0078808416738906
play,57,3.5087719298246e-005,0.002,0.0078808416738906
ipairs,3380,5.9171597633136e-007,0.002,0.0078808416738906
findChildren,1,0.002,0.002000,0.0078808416738906
Pos,741,2.6990553306343e-006,0.002,0.0078808416738906
getmetatable,129,1.5503875968992e-005,0.002,0.0078808416738906
setTitleFontName,2,0.0005,0.001,0.0039404208369453
isCityBroken,114,8.7719298245614e-006,0.001,0.0039404208369453
isSignToday,30,3.3333333333333e-005,0.001,0.0039404208369453
setShowFightingAni,1653,6.0496067755596e-007,0.001,0.0039404208369453
Parent,696,1.4367816091954e-006,0.001,0.0039404208369453
getLayer,32,3.125e-005,0.001,0.0039404208369453
leftBottom,28,3.5714285714286e-005,0.001,0.0039404208369453
getAnimation,57,1.7543859649123e-005,0.001,0.0039404208369453
preloadEffect,12,8.3333333333333e-005,0.001,0.0039404208369453
onAdd2StageHandler,2,0.0005,0.001,0.0039404208369453
date,16,6.25e-005,0.001,0.0039404208369453
newLoadingBar,6,0.00016666666666667,0.001,0.0039404208369453
Parser,754,1.3262599469496e-006,0.001,0.0039404208369453
".\src\game/module/t",2,0.0005,0.001,0.0039404208369453
"adapterCCLabelSyste",72,1.3888888888889e-005,0.001,0.0039404208369453
stopActionByTag,21,4.7619047619048e-005,0.001,0.0039404208369453
print,3,0.00033333333333333,0.001,0.0039404208369453
getName,2,0,0,0
setPos,2,0,0,0
showGeneralIntro,1,0,0.000000,0
gb2312utf8,57,0,0,0
setStarNum,4,0,0,0
getNextName,2,0,0,0
setAp,2,0,0,0
unpack,1,0,0.000000,0
refreshAllonEnter,1,0,0.000000,0
centerBottom,22,0,0,0
setOpacity,1,0,0.000000,0
wakeupLoginUpdateM,1,0,0.000000,0
maxContainerOffset,2,0,0,0
open,7,0,0,0
enableKeyEvent,2,0,0,0
initModule,5,0,0,0
"checkLocalVersionFi",1,0,0.000000,0
setSwallowTouches,1,0,0.000000,0
createView,57,0,0,0
setFocus,2,0,0,0
ctor,131,0,0,0
setObject,6,0,0,0
setContentSize,67,0,0,0
endUpdateH_,1,0,0.000000,0
newObject,122,0,0,0
disabledLoginM,1,0,0.000000,0
setDimensions,57,0,0,0
minContainerOffset,3,0,0,0
"scheduleUpdateWithP",57,0,0,0
seekWidgetByName,3,0,0,0
".\src\firework/fram",17,0,0,0
handleData,1,0,0.000000,0
setLocalZOrder,1,0,0.000000,0
Show,1,0,0.000000,0
setBack2LoginM,1,0,0.000000,0
getGeneralIds,2,0,0,0
refreshUI,2,0,0,0
setBounceable,1,0,0.000000,0
close,2,0,0,0
setBright,57,0,0,0
getSoldierIds,1,0,0.000000,0
onFinish,3,0,0,0
"removeEventListener",1,0,0.000000,0
showWorldMapLayer,1,0,0.000000,0
setmetatable,134,0,0,0
".\src\game/measure/",16,0,0,0
__create,8,0,0,0
setContentOffset,1,0,0.000000,0
getUserBattleAll,2,0,0,0
onLaunch,3,0,0,0
isDragging,3,0,0,0
pairs,66,0,0,0
c4b,1,0,0.000000,0
setViewSize,1,0,0.000000,0
adapterUILIB_PUBLIC,2,0,0,0
onClicked,2,0,0,0
refresh,56,0,0,0
stop,1,0,0.000000,0
".\src\firework/uili",2,0,0,0
__newindex,28,0,0,0
ContentSize,6,0,0,0
setScollViewDelegate,1,0,0.000000,0
min,2,0,0,0
getChildByTag,31,0,0,0
setAlignment,57,0,0,0
onREMOVE_MEASURE,3,0,0,0
launchMeasureByName,3,0,0,0
"strictLoopWithGiven",122,0,0,0
checkSignState,15,0,0,0
setTextureRect,1,0,0.000000,0
getWorldMapLayer,17,0,0,0
getStarNum,2,0,0,0
setTag,24,0,0,0
datediff,1,0,0.000000,0
rightBottom,22,0,0,0
getpeer,4,0,0,0
getIni,3,0,0,0
getTargetPlatform,2,0,0,0
releaseLayer,2,0,0,0
class,12,0,0,0
getMinSignDay,1,0,0.000000,0
stat,2,0,0,0
exit,1,0,0.000000,0
".\src\game/module/u",2,0,0,0
setContainer,1,0,0.000000,0
".\src\game/module/l",10,0,0,0
upadteAp,1,0,0.000000,0
setPositionX,8,0,0,0
".\src\game/common/V",1,0,0.000000,0
pcall,4,0,0,0
adapterCCButton,72,0,0,0
add2Node,2,0,0,0
".\src\firework/coco",4,0,0,0
getCls,56,0,0,0
newS9Sprite,6,0,0,0
setSelected,1,0,0.000000,0
setmetatableindex,129,0,0,0
newCCScrollView,3,0,0,0
onFINISH_MEASURE,3,0,0,0
setCityIsBroken,57,0,0,0
getEndLoginH,1,0,0.000000,0
getRunningScene,5,0,0,0
callback,745,0,0,0
getParent,7,0,0,0
